secid,date,days,cp_flag,delta,impl_volatility,impl_strike,impl_premium,dispersion
101310.0,2022-01-03,10.0,P,-90.0,0.280045,3620.575,219.6615,0.063183
101310.0,2022-01-03,10.0,P,-85.0,0.264682,3569.942,173.0579,0.034771
101310.0,2022-01-03,10.0,P,-80.0,0.255975,3535.143,142.6773,0.017073
101310.0,2022-01-03,10.0,P,-75.0,0.250057,3507.755,120.0921,0.009432
101310.0,2022-01-03,10.0,P,-70.0,0.245349,3484.505,102.0253,0.00681
101310.0,2022-01-03,10.0,P,-65.0,0.241725,3464.002,87.15155,0.005172
101310.0,2022-01-03,10.0,P,-60.0,0.239341,3445.357,74.7001,0.003537
101310.0,2022-01-03,10.0,P,-55.0,0.23813,3427.855,64.09689,0.002272
101310.0,2022-01-03,10.0,P,-50.0,0.23779,3410.906,54.85959,0.00174
101310.0,2022-01-03,10.0,P,-45.0,0.238081,3394.062,46.65704,0.001817
101310.0,2022-01-03,10.0,P,-40.0,0.238943,3376.915,39.29763,0.002277
101310.0,2022-01-03,10.0,P,-35.0,0.240433,3359.039,32.64893,0.003062
101310.0,2022-01-03,10.0,P,-30.0,0.24265,3339.906,26.60863,0.004248
101310.0,2022-01-03,10.0,P,-25.0,0.245723,3318.758,21.09303,0.006476
101310.0,2022-01-03,10.0,P,-20.0,0.250086,3294.362,16.05644,0.011923
101310.0,2022-01-03,10.0,P,-15.0,0.257072,3264.157,11.47879,0.023806
101310.0,2022-01-03,10.0,P,-10.0,0.26895,3222.445,7.315261,0.043828
101310.0,2022-01-03,10.0,C,10.0,0.266784,3610.258,6.994131,0.031318
101310.0,2022-01-03,10.0,C,15.0,0.256169,3564.636,11.01234,0.019026
101310.0,2022-01-03,10.0,C,20.0,0.249482,3531.864,15.40178,0.010583
101310.0,2022-01-03,10.0,C,25.0,0.245133,3505.762,20.20402,0.006226
101310.0,2022-01-03,10.0,C,30.0,0.242116,3483.488,25.45491,0.004175
101310.0,2022-01-03,10.0,C,35.0,0.240032,3463.615,31.20288,0.003005
101310.0,2022-01-03,10.0,C,40.0,0.238665,3445.261,37.51015,0.002264
101310.0,2022-01-03,10.0,C,45.0,0.237885,3427.842,44.46988,0.001837
101310.0,2022-01-03,10.0,C,50.0,0.237635,3410.907,52.19459,0.001676
101310.0,2022-01-03,10.0,C,55.0,0.237867,3394.071,60.81829,0.00172
101310.0,2022-01-03,10.0,C,60.0,0.23847,3376.966,70.52415,0.001852
101310.0,2022-01-03,10.0,C,65.0,0.239292,3359.248,81.51192,0.002085
101310.0,2022-01-03,10.0,C,70.0,0.240341,3340.51,94.10725,0.002904
101310.0,2022-01-03,10.0,C,75.0,0.241982,3320.041,108.9887,0.005465
101310.0,2022-01-03,10.0,C,80.0,0.245001,3296.555,127.4295,0.011894
101310.0,2022-01-03,10.0,C,85.0,0.251158,3267.297,152.17,0.024547
101310.0,2022-01-03,10.0,C,90.0,0.263006,3226.312,189.0905,0.043511
101310.0,2022-01-03,30.0,P,-90.0,0.298543,3816.426,420.8154,0.036935
101310.0,2022-01-03,30.0,P,-85.0,0.289074,3726.672,338.8156,0.025829
101310.0,2022-01-03,30.0,P,-80.0,0.283613,3662.08,282.804,0.020389
101310.0,2022-01-03,30.0,P,-75.0,0.281335,3611.083,241.3933,0.018786
101310.0,2022-01-03,30.0,P,-70.0,0.281239,3567.697,208.76,0.018455
101310.0,2022-01-03,30.0,P,-65.0,0.282057,3528.386,181.3937,0.018413
101310.0,2022-01-03,30.0,P,-60.0,0.283056,3491.316,157.4641,0.018512
101310.0,2022-01-03,30.0,P,-55.0,0.284179,3455.587,136.2253,0.018723
101310.0,2022-01-03,30.0,P,-50.0,0.285559,3420.519,117.2247,0.018965
101310.0,2022-01-03,30.0,P,-45.0,0.287196,3385.464,100.0664,0.019213
101310.0,2022-01-03,30.0,P,-40.0,0.288893,3349.783,84.39951,0.019528
101310.0,2022-01-03,30.0,P,-35.0,0.290314,3312.957,69.95748,0.020034
101310.0,2022-01-03,30.0,P,-30.0,0.291275,3274.445,56.61998,0.020907
101310.0,2022-01-03,30.0,P,-25.0,0.292295,3233.105,44.42398,0.022628
101310.0,2022-01-03,30.0,P,-20.0,0.295891,3185.645,33.60112,0.027726
101310.0,2022-01-03,30.0,P,-15.0,0.308424,3122.789,24.3568,0.041797
101310.0,2022-01-03,30.0,P,-10.0,0.334217,3029.091,16.09088,0.062351
101310.0,2022-01-03,30.0,C,10.0,0.298448,3818.36,13.32575,0.032364
101310.0,2022-01-03,30.0,C,15.0,0.289622,3728.553,21.18444,0.024583
101310.0,2022-01-03,30.0,C,20.0,0.284262,3663.534,29.83302,0.020717
101310.0,2022-01-03,30.0,C,25.0,0.281851,3612.086,39.45131,0.019378
101310.0,2022-01-03,30.0,C,30.0,0.281494,3568.308,50.2015,0.018809
101310.0,2022-01-03,30.0,C,35.0,0.282013,3528.716,62.11039,0.018479
101310.0,2022-01-03,30.0,C,40.0,0.282777,3491.5,75.20255,0.018416
101310.0,2022-01-03,30.0,C,45.0,0.28378,3455.727,89.654,0.018581
101310.0,2022-01-03,30.0,C,50.0,0.285135,3420.66,105.7003,0.01883
101310.0,2022-01-03,30.0,C,55.0,0.286791,3385.62,123.5879,0.019101
101310.0,2022-01-03,30.0,C,60.0,0.288499,3349.955,143.5878,0.019448
101310.0,2022-01-03,30.0,C,65.0,0.289842,3313.172,165.906,0.019995
101310.0,2022-01-03,30.0,C,70.0,0.290557,3274.798,190.8945,0.020928
101310.0,2022-01-03,30.0,C,75.0,0.29117,3233.752,219.6905,0.022701
101310.0,2022-01-03,30.0,C,80.0,0.294311,3186.745,255.8435,0.027441
101310.0,2022-01-03,30.0,C,85.0,0.306096,3124.739,308.5726,0.038761
101310.0,2022-01-03,30.0,C,90.0,0.329496,3033.882,391.0783,0.052625
101310.0,2022-01-03,60.0,P,-90.0,0.299225,4007.665,616.2055,0.023326
101310.0,2022-01-03,60.0,P,-85.0,0.291972,3879.598,499.079,0.015846
101310.0,2022-01-03,60.0,P,-80.0,0.287341,3785.528,417.1146,0.010253
101310.0,2022-01-03,60.0,P,-75.0,0.284921,3710.336,355.3396,0.007402
101310.0,2022-01-03,60.0,P,-70.0,0.28397,3646.062,305.9239,0.006421
101310.0,2022-01-03,60.0,P,-65.0,0.283789,3588.288,264.5262,0.006244
101310.0,2022-01-03,60.0,P,-60.0,0.283921,3534.474,228.669,0.006336
101310.0,2022-01-03,60.0,P,-55.0,0.284443,3483.207,197.2058,0.006442
101310.0,2022-01-03,60.0,P,-50.0,0.285506,3433.354,169.3595,0.006481
101310.0,2022-01-03,60.0,P,-45.0,0.287026,3383.84,144.409,0.006481
101310.0,2022-01-03,60.0,P,-40.0,0.288876,3333.635,121.7798,0.006537
101310.0,2022-01-03,60.0,P,-35.0,0.291111,3281.743,101.1672,0.006793
101310.0,2022-01-03,60.0,P,-30.0,0.294145,3226.742,82.43631,0.007723
101310.0,2022-01-03,60.0,P,-25.0,0.298993,3166.078,65.51402,0.01052
101310.0,2022-01-03,60.0,P,-20.0,0.307113,3095.259,50.28586,0.016559
101310.0,2022-01-03,60.0,P,-15.0,0.319307,3007.588,36.34204,0.026243
101310.0,2022-01-03,60.0,P,-10.0,0.335035,2892.414,23.20582,0.038372
101310.0,2022-01-03,60.0,C,10.0,0.300457,4017.182,18.69804,0.024395
101310.0,2022-01-03,60.0,C,15.0,0.291874,3883.388,29.73459,0.017145
101310.0,2022-01-03,60.0,C,20.0,0.286385,3786.812,41.83498,0.011202
101310.0,2022-01-03,60.0,C,25.0,0.283789,3710.959,55.2541,0.007938
101310.0,2022-01-03,60.0,C,30.0,0.283075,3646.725,70.17186,0.006695
101310.0,2022-01-03,60.0,C,35.0,0.283199,3589.049,86.63165,0.006234
101310.0,2022-01-03,60.0,C,40.0,0.283593,3535.265,104.6762,0.00606
101310.0,2022-01-03,60.0,C,45.0,0.284321,3483.956,124.5689,0.006032
101310.0,2022-01-03,60.0,C,50.0,0.285521,3434.011,146.6495,0.00604
101310.0,2022-01-03,60.0,C,55.0,0.287127,3384.387,171.2718,0.006041
101310.0,2022-01-03,60.0,C,60.0,0.289011,3334.071,198.8811,0.00606
101310.0,2022-01-03,60.0,C,65.0,0.29114,3282.118,230.0962,0.00618
101310.0,2022-01-03,60.0,C,70.0,0.293813,3227.244,266.0601,0.006964
101310.0,2022-01-03,60.0,C,75.0,0.298121,3166.969,309.2403,0.010211
101310.0,2022-01-03,60.0,C,80.0,0.306077,3096.416,364.5139,0.017705
101310.0,2022-01-03,60.0,C,85.0,0.31907,3008.031,439.0219,0.02916
101310.0,2022-01-03,60.0,C,90.0,0.33641,2890.71,543.2271,0.042781
101310.0,2022-01-03,91.0,P,-90.0,0.288368,4135.48,746.3165,0.020596
101310.0,2022-01-03,91.0,P,-85.0,0.281103,3979.433,603.0057,0.013936
101310.0,2022-01-03,91.0,P,-80.0,0.27673,3865.841,503.5801,0.00802
101310.0,2022-01-03,91.0,P,-75.0,0.274911,3775.978,429.5251,0.004701
101310.0,2022-01-03,91.0,P,-70.0,0.274564,3699.249,370.3663,0.003735
101310.0,2022-01-03,91.0,P,-65.0,0.275179,3630.434,321.0435,0.003679
101310.0,2022-01-03,91.0,P,-60.0,0.276547,3566.49,278.7366,0.003744
101310.0,2022-01-03,91.0,P,-55.0,0.278377,3505.229,241.4965,0.003827
101310.0,2022-01-03,91.0,P,-50.0,0.280469,3445.203,208.1274,0.003889
101310.0,2022-01-03,91.0,P,-45.0,0.282523,3385.302,177.7609,0.003945
101310.0,2022-01-03,91.0,P,-40.0,0.284486,3324.599,149.9054,0.004293
101310.0,2022-01-03,91.0,P,-35.0,0.286669,3262.066,124.4602,0.005028
101310.0,2022-01-03,91.0,P,-30.0,0.289425,3196.16,101.2823,0.006371
101310.0,2022-01-03,91.0,P,-25.0,0.293514,3124.267,80.25605,0.009488
101310.0,2022-01-03,91.0,P,-20.0,0.30116,3040.653,61.50872,0.016432
101310.0,2022-01-03,91.0,P,-15.0,0.315267,2934.656,44.77058,0.027929
101310.0,2022-01-03,91.0,P,-10.0,0.334762,2793.035,28.94638,0.04166
101310.0,2022-01-03,91.0,C,10.0,0.292197,4158.376,22.18107,0.022319
101310.0,2022-01-03,91.0,C,15.0,0.283046,3990.771,35.16423,0.015992
101310.0,2022-01-03,91.0,C,20.0,0.277197,3871.295,49.36641,0.009349
101310.0,2022-01-03,91.0,C,25.0,0.274738,3779.021,65.1856,0.005137
101310.0,2022-01-03,91.0,C,30.0,0.274336,3701.483,82.82514,0.003917
101310.0,2022-01-03,91.0,C,35.0,0.275152,3632.38,102.4411,0.004023
101310.0,2022-01-03,91.0,C,40.0,0.276812,3568.256,124.2452,0.004213
101310.0,2022-01-03,91.0,C,45.0,0.278927,3506.77,148.4598,0.004283
101310.0,2022-01-03,91.0,C,50.0,0.281244,3446.446,175.3145,0.004252
101310.0,2022-01-03,91.0,C,55.0,0.283436,3386.203,205.0135,0.004167
101310.0,2022-01-03,91.0,C,60.0,0.285427,3325.152,237.9729,0.004338
101310.0,2022-01-03,91.0,C,65.0,0.287519,3262.33,275.0765,0.004898
101310.0,2022-01-03,91.0,C,70.0,0.290071,3196.267,317.6797,0.006187
101310.0,2022-01-03,91.0,C,75.0,0.29392,3124.336,368.3365,0.009787
101310.0,2022-01-03,91.0,C,80.0,0.301692,3040.414,433.3759,0.018607
101310.0,2022-01-03,91.0,C,85.0,0.317321,2932.251,524.8375,0.033863
101310.0,2022-01-03,91.0,C,90.0,0.340374,2784.493,656.7691,0.051902
101310.0,2022-01-03,122.0,P,-90.0,0.284998,4257.036,869.7712,0.012457
101310.0,2022-01-03,122.0,P,-85.0,0.280178,4081.607,708.9961,0.00889
101310.0,2022-01-03,122.0,P,-80.0,0.277194,3951.094,594.8604,0.005576
101310.0,2022-01-03,122.0,P,-75.0,0.276124,3846.473,508.5126,0.00376
101310.0,2022-01-03,122.0,P,-70.0,0.276322,3756.755,439.119,0.003387
101310.0,2022-01-03,122.0,P,-65.0,0.277179,3675.916,380.7508,0.003528
101310.0,2022-01-03,122.0,P,-60.0,0.278558,3600.709,330.3986,0.003883
101310.0,2022-01-03,122.0,P,-55.0,0.280484,3528.897,286.1941,0.004285
101310.0,2022-01-03,122.0,P,-50.0,0.282712,3458.703,246.642,0.004589
101310.0,2022-01-03,122.0,P,-45.0,0.284896,3388.779,210.6495,0.005014
101310.0,2022-01-03,122.0,P,-40.0,0.287087,3318.034,177.6945,0.005839
101310.0,2022-01-03,122.0,P,-35.0,0.28972,3245.186,147.7012,0.007126
101310.0,2022-01-03,122.0,P,-30.0,0.293362,3168.186,120.5239,0.00912
101310.0,2022-01-03,122.0,P,-25.0,0.298961,3083.621,95.9692,0.012439
101310.0,2022-01-03,122.0,P,-20.0,0.308037,2985.436,73.86085,0.018103
101310.0,2022-01-03,122.0,P,-15.0,0.321822,2864.177,53.63662,0.028334
101310.0,2022-01-03,122.0,P,-10.0,0.34151,2702.832,34.64905,0.043558
101310.0,2022-01-03,122.0,C,10.0,0.290067,4293.036,25.27739,0.015641
101310.0,2022-01-03,122.0,C,15.0,0.283742,4102.142,40.42453,0.011525
101310.0,2022-01-03,122.0,C,20.0,0.279584,3963.548,57.05233,0.007148
101310.0,2022-01-03,122.0,C,25.0,0.2779,3854.801,75.50153,0.004417
101310.0,2022-01-03,122.0,C,30.0,0.277861,3762.853,95.99815,0.003686
101310.0,2022-01-03,122.0,C,35.0,0.278686,3680.638,118.6655,0.003774
